Nucleotide.Accession	Organism.Name	Organism.Taxonomic.ID	BioSample	contig.length	Assembly.Accession	Assembly.Name
NZ_JBBMIT010000001.1	Vibrio diabolicus	50719	SAMN40574063	1549630	GCF_043840395.1	ASM4384039v1
NZ_JBBMIU010000001.1	Vibrio diabolicus	50719	SAMN40575152	1774819	GCF_043840415.1	ASM4384041v1
NZ_JBBMIV010000024.1	Vibrio diabolicus	50719	SAMN40575477	69200	GCF_043840435.1	ASM4384043v1
NZ_JBBKYR010000005.1	Vibrio alginolyticus	663	SAMN40575456	313992	GCF_043840445.1	ASM4384044v1
NZ_JBBKYQ010000006.1	Vibrio alginolyticus	663	SAMN40575383	310531	GCF_043840475.1	ASM4384047v1
NZ_JBBKYT010000003.1	Vibrio alginolyticus	663	SAMN40575828	494060	GCF_043840495.1	ASM4384049v1
NZ_JBBKYS010000004.1	Vibrio alginolyticus	663	SAMN40575548	313992	GCF_043840525.1	ASM4384052v1
NZ_JBBMIW010000003.1	Vibrio harveyi	669	SAMN40575902	852852	GCF_043840635.1	ASM4384063v1
NZ_JBBMIZ010000007.1	Vibrio diabolicus	50719	SAMN40584243	268135	GCF_043840665.1	ASM4384066v1
NZ_JBBMIY010000002.1	Vibrio diabolicus	50719	SAMN40584213	878314	GCF_043840685.1	ASM4384068v1
NZ_JBBLMS010000003.1	Vibrio alginolyticus	663	SAMN40584254	449682	GCF_043840725.1	ASM4384072v1
NZ_JBBMJA010000004.1	Vibrio diabolicus	50719	SAMN40584261	806698	GCF_043840745.1	ASM4384074v1
NZ_JBBLMU010000003.1	Vibrio alginolyticus	663	SAMN40584343	404538	GCF_043840845.1	ASM4384084v1
NZ_JBBLMT010000001.1	Vibrio alginolyticus	663	SAMN40584284	1067054	GCF_043840865.1	ASM4384086v1
NZ_JBBMJB010000007.1	Vibrio diabolicus	50719	SAMN40584303	358424	GCF_043840905.1	ASM4384090v1
NZ_JBBJUD010000018.1	Vibrio alginolyticus	663	SAMN40560781	87578	GCF_043842935.1	ASM4384293v1
NZ_JBBMHU010000002.1	Vibrio diabolicus	50719	SAMN40560786	736969	GCF_043842955.1	ASM4384295v1
NZ_JBBJUF010000018.1	Vibrio alginolyticus	663	SAMN40560813	87578	GCF_043843015.1	ASM4384301v1
NZ_JBBJUE010000019.1	Vibrio alginolyticus	663	SAMN40560812	87578	GCF_043843045.1	ASM4384304v1
NZ_JBBMHV010000003.1	Vibrio diabolicus	50719	SAMN40560814	736969	GCF_043843095.1	ASM4384309v1
NZ_JBBJUH010000001.1	Vibrio alginolyticus	663	SAMN40560819	1861510	GCF_043843115.1	ASM4384311v1
NZ_JBBJUG010000019.1	Vibrio alginolyticus	663	SAMN40560816	104799	GCF_043843135.1	ASM4384313v1
NZ_JBBJUI010000001.1	Vibrio alginolyticus	663	SAMN40560843	1434727	GCF_043843175.1	ASM4384317v1
NZ_JBBMHW010000006.1	Vibrio diabolicus	50719	SAMN40560850	250882	GCF_043843235.1	ASM4384323v1
NZ_JBBMHY010000001.1	Vibrio diabolicus	50719	SAMN40561756	1833614	GCF_043843255.1	ASM4384325v1
NZ_JBBJUJ010000017.1	Vibrio alginolyticus	663	SAMN40561044	87578	GCF_043843335.1	ASM4384333v1
NZ_JBBMHZ010000002.1	Vibrio diabolicus	50719	SAMN40561775	344543	GCF_043843355.1	ASM4384335v1
NZ_JBBMIA010000001.1	Vibrio diabolicus	50719	SAMN40562070	1642951	GCF_043843405.1	ASM4384340v1
NZ_JBBMIB010000001.1	Vibrio diabolicus	50719	SAMN40564514	899993	GCF_043843435.1	ASM4384343v1
NZ_JBBJZS010000001.1	Vibrio alginolyticus	663	SAMN40564672	1028753	GCF_043843495.1	ASM4384349v1
NZ_JBBMHS010000003.1	Vibrio diabolicus	50719	SAMN40565602	320538	GCF_043843555.1	ASM4384355v1
NZ_JBBMHT010000001.1	Vibrio diabolicus	50719	SAMN40565608	1854550	GCF_043843575.1	ASM4384357v1
NZ_JBBJZI010000001.1	Vibrio alginolyticus	663	SAMN40565687	886378	GCF_043843635.1	ASM4384363v1
NZ_JBBMIC010000001.1	Vibrio diabolicus	50719	SAMN40565701	1828393	GCF_043843655.1	ASM4384365v1
NZ_JBBJZJ010000012.1	Vibrio alginolyticus	663	SAMN40565714	158826	GCF_043843665.1	ASM4384366v1
NZ_JBBJZK010000003.1	Vibrio alginolyticus	663	SAMN40565715	442099	GCF_043843675.1	ASM4384367v1
NZ_JBBJZM010000001.1	Vibrio alginolyticus	663	SAMN40565948	837420	GCF_043843815.1	ASM4384381v1
NZ_JBBMIE010000007.1	Vibrio diabolicus	50719	SAMN40566039	300394	GCF_043843855.1	ASM4384385v1
NZ_JBBJZO010000001.1	Vibrio alginolyticus	663	SAMN40566047	1031882	GCF_043843935.1	ASM4384393v1
NZ_JBBJZP010000003.1	Vibrio alginolyticus	663	SAMN40566076	498200	GCF_043843955.1	ASM4384395v1
NZ_JBBMIF010000001.1	Vibrio diabolicus	50719	SAMN40566091	1750503	GCF_043843975.1	ASM4384397v1
NZ_JBBJZQ010000001.1	Vibrio alginolyticus	663	SAMN40566081	1839279	GCF_043843995.1	ASM4384399v1
NZ_JBBJZR010000007.1	Vibrio alginolyticus	663	SAMN40566114	478265	GCF_043844015.1	ASM4384401v1
NZ_JBBMIG010000005.1	Vibrio diabolicus	50719	SAMN40566113	312443	GCF_043844035.1	ASM4384403v1
NZ_JBBKUW010000006.1	Vibrio alginolyticus	663	SAMN40571587	534542	GCF_043844055.1	ASM4384405v1
NZ_JBBKUX010000003.1	Vibrio alginolyticus	663	SAMN40571705	618746	GCF_043844095.1	ASM4384409v1
NZ_JBBMIJ010000007.1	Vibrio diabolicus	50719	SAMN40571724	360301	GCF_043844135.1	ASM4384413v1
NZ_JBBKUY010000001.1	Vibrio alginolyticus	663	SAMN40571725	1385177	GCF_043844155.1	ASM4384415v1
NZ_JBBKVC010000001.1	Vibrio alginolyticus	663	SAMN40571795	1056476	GCF_043844175.1	ASM4384417v1
NZ_JBBKVA010000001.1	Vibrio alginolyticus	663	SAMN40571781	1056476	GCF_043844195.1	ASM4384419v1
NZ_JBBMIK010000001.1	Vibrio diabolicus	50719	SAMN40571771	1279202	GCF_043844215.1	ASM4384421v1
NZ_JBBKUZ010000001.1	Vibrio alginolyticus	663	SAMN40571780	1817273	GCF_043844235.1	ASM4384423v1
NZ_JBBKVB010000002.1	Vibrio alginolyticus	663	SAMN40571794	402965	GCF_043844255.1	ASM4384425v1
NZ_JBBKVD010000002.1	Vibrio alginolyticus	663	SAMN40571797	871317	GCF_043844265.1	ASM4384426v1
NZ_JBBKVE010000012.1	Vibrio alginolyticus	663	SAMN40571798	138432	GCF_043844295.1	ASM4384429v1
NZ_JBBKVG010000004.1	Vibrio alginolyticus	663	SAMN40571837	484961	GCF_043844315.1	ASM4384431v1
NZ_JBBKVF010000010.1	Vibrio alginolyticus	663	SAMN40571800	174786	GCF_043844335.1	ASM4384433v1
NZ_JBBMIM010000005.1	Vibrio diabolicus	50719	SAMN40571840	370030	GCF_043844355.1	ASM4384435v1
NZ_JBBKVH010000003.1	Vibrio alginolyticus	663	SAMN40571838	1109748	GCF_043844375.1	ASM4384437v1
NZ_JBBMIL010000001.1	Vibrio diabolicus	50719	SAMN40571839	1370832	GCF_043844405.1	ASM4384440v1
NZ_JBBMIN010000005.1	Vibrio diabolicus	50719	SAMN40571841	519524	GCF_043844425.1	ASM4384442v1
NZ_JBBMIO010000004.1	Vibrio diabolicus	50719	SAMN40571849	540079	GCF_043844445.1	ASM4384444v1
NZ_JBBKVI010000002.1	Vibrio alginolyticus	663	SAMN40571850	427177	GCF_043844465.1	ASM4384446v1
NZ_JBBLMW010000031.1	Vibrio alginolyticus	663	SAMN40584484	45697	GCF_043844485.1	ASM4384448v1
NZ_JBBLMV010000026.1	Vibrio alginolyticus	663	SAMN40584483	46443	GCF_043844505.1	ASM4384450v1
NZ_JBBLMX010000001.1	Vibrio alginolyticus	663	SAMN40584485	837617	GCF_043844525.1	ASM4384452v1
NZ_JBBLMY010000005.1	Vibrio alginolyticus	663	SAMN40584486	347065	GCF_043844545.1	ASM4384454v1
NZ_JBBMJC010000001.1	Vibrio diabolicus	50719	SAMN40584487	1853404	GCF_043844565.1	ASM4384456v1
NZ_JBBLMZ010000011.1	Vibrio alginolyticus	663	SAMN40584488	163811	GCF_043844585.1	ASM4384458v1
NZ_JBBMJD010000003.1	Vibrio diabolicus	50719	SAMN40584489	965107	GCF_043844605.1	ASM4384460v1
NZ_JBBMJE010000003.1	Vibrio diabolicus	50719	SAMN40584490	965107	GCF_043844625.1	ASM4384462v1
NZ_JBBLNA010000011.1	Vibrio alginolyticus	663	SAMN40584491	136348	GCF_043844655.1	ASM4384465v1
NZ_JBBLNB010000001.1	Vibrio alginolyticus	663	SAMN40584503	1198606	GCF_043844675.1	ASM4384467v1
NZ_JBBMJF010000004.1	Vibrio diabolicus	50719	SAMN40584520	540569	GCF_043844695.1	ASM4384469v1
NZ_JBBLNC010000001.1	Vibrio alginolyticus	663	SAMN40584504	1060671	GCF_043844705.1	ASM4384470v1
NZ_JBBMJG010000001.1	Vibrio diabolicus	50719	SAMN40584521	1828380	GCF_043844735.1	ASM4384473v1
NZ_JBBMJI010000022.1	Vibrio diabolicus	50719	SAMN40584523	69771	GCF_043844785.1	ASM4384478v1
NZ_JBBMJH010000009.1	Vibrio diabolicus	50719	SAMN40584522	134954	GCF_043844875.1	ASM4384487v1
NZ_CP171886.1	Vibrio sp. D3	3374281	SAMN44361755	1847496	GCF_043995865.1	ASM4399586v1
NZ_CP171995.1	Aminobacter sp. UC22_36	3374549	SAMN43526783	697018	GCF_044056035.1	Isolate36
NZ_JBHFCS010000002.1	Pseudomonas sp. TR47	3342639	SAMN43509992	357188	GCF_044143025.1	ASM4414302v1
NZ_JBISDG010000001.1	Roseovarius sp. SYSU LYC5162	3376063	SAMN44464895	147905	GCF_044472985.1	ASM4447298v1
NZ_CP172406.1	Vibrio campbellii	680	SAMN44444583	2141461	GCF_044496695.1	ASM4449669v1
NZ_JBIUVL010000016.1	Pseudomonas protegens	380021	SAMN43997186	124415	GCF_044742945.1	ASM4474294v1
NZ_JBIUVM010000017.1	Pseudomonas protegens	380021	SAMN43997185	111139	GCF_044742975.1	ASM4474297v1
NZ_JBIUWR010000024.1	Pseudomonas protegens	380021	SAMN43997151	118052	GCF_044743565.1	ASM4474356v1
NZ_JBIUYA010000007.1	Pseudomonas sp. NPDC087336	3364436	SAMN43997101	250405	GCF_044744285.1	ASM4474428v1
NZ_JBIVAB010000015.1	Pseudomonas sp. NPDC087029	3364433	SAMN43997042	138760	GCF_044745345.1	ASM4474534v1
NZ_JBIVAC010000001.1	Pseudomonas hunanensis	1247546	SAMN43997041	637339	GCF_044745385.1	ASM4474538v1
NZ_JBIVAF010000019.1	Pseudomonas protegens	380021	SAMN43997038	116722	GCF_044745405.1	ASM4474540v1
NZ_JBIVAG010000017.1	Pseudomonas protegens	380021	SAMN43997037	96222	GCF_044745445.1	ASM4474544v1
NZ_JBIVCC010000016.1	Pseudomonas protegens	380021	SAMN43996986	129936	GCF_044746365.1	ASM4474636v1
NZ_JBIVBY010000040.1	Pseudomonas sp. NPDC086251	3364431	SAMN43996990	53451	GCF_044746405.1	ASM4474640v1
NZ_JBIVCV010000004.1	Pseudomonas sp. NPDC090203	3364477	SAMN43997610	440938	GCF_044746765.1	ASM4474676v1
NZ_JBIVCX010000004.1	Pseudomonas sp. NPDC090201	3364475	SAMN43997608	491063	GCF_044746825.1	ASM4474682v1
NZ_JBIVGA010000005.1	Pseudomonas sp. NPDC089996	3364474	SAMN43997524	397417	GCF_044748405.1	ASM4474840v1
NZ_JBIVGP010000026.1	Pseudomonas sp. NPDC089752	3364472	SAMN43997503	39171	GCF_044748725.1	ASM4474872v1
NZ_JBIVGR010000001.1	Pseudomonas hunanensis	1247546	SAMN43997500	418403	GCF_044748805.1	ASM4474880v1
NZ_JBIVHT010000025.1	Pseudomonas sp. NPDC089428	3364467	SAMN43997469	45444	GCF_044749325.1	ASM4474932v1
NZ_JBIVHW010000015.1	Pseudomonas sp. NPDC089422	3364466	SAMN43997466	158486	GCF_044749405.1	ASM4474940v1
NZ_JBIVSL010000034.1	Rhizobium sp. NPDC092017	3364502	SAMN43997788	73395	GCF_044756145.1	ASM4475614v1
NZ_JBIVSM010000033.1	Rhizobium sp. NPDC092014	3364501	SAMN43997787	73395	GCF_044756205.1	ASM4475620v1
NZ_JBIVSO010000023.1	Rhizobium sp. NPDC092011	3364500	SAMN43997785	73395	GCF_044756305.1	ASM4475630v1
NZ_JBIVTS010000001.1	Pseudomonas putida	303	SAMN43997755	1477319	GCF_044759085.1	ASM4475908v1
NZ_CP085210.1	Vreelandella aquamarina	77097	SAMN22138113	3079439	GCF_044797855.1	ASM4479785v1
NZ_CP085221.1	Halomonas sp.	1486246	SAMN22138105	3701244	GCF_044801325.1	ASM4480132v1
NZ_JBJDMX010000017.1	Pseudomonas protegens	380021	SAMN43997501	91909	GCF_044900415.1	ASM4490041v1
NZ_JBJDOA010000010.1	Pseudomonas sp. NPDC087358	3364439	SAMN43997110	221131	GCF_044900785.1	ASM4490078v1
NZ_JBJDPI010000007.1	Psychrobacter sp. NPDC064578	3364493	SAMN43996795	235776	GCF_044901245.1	ASM4490124v1
NZ_JBJDPE010000018.1	Cobetia marina	28258	SAMN43996804	31176	GCF_044901945.1	ASM4490194v1
NZ_JAOXMB010000002.1	Pseudomonas sp. M3	690137	SAMN31300206	530707	GCF_044902865.1	ASM4490286v1
NZ_JBJDIX010000016.1	Pseudomonas guariconensis	1288410	SAMN44635465	131576	GCF_044903045.1	ASM4490304v1
NZ_JBJFLT010000001.1	Vibrio alginolyticus	663	SAMN44323414	904769	GCF_044904215.1	ASM4490421v1
NZ_JADDRH010000023.1	Pseudomonas sp. 3HC3	2781025	SAMN16493027	82596	GCF_044904505.1	ASM4490450v1
NZ_CP173384.1	Vibrio campbellii	680	SAMN44481490	2091140	GCF_045004265.1	ASM4500426v1
NZ_CP173386.1	Vibrio campbellii	680	SAMN44481489	2091140	GCF_045004285.1	ASM4500428v1
NZ_CP173392.1	Vibrio campbellii	680	SAMN44481486	2170281	GCF_045004295.1	ASM4500429v1
NZ_CP173390.1	Vibrio campbellii	680	SAMN44481487	2098186	GCF_045004305.1	ASM4500430v1
NZ_CP173388.1	Vibrio campbellii	680	SAMN44481488	2150489	GCF_045004315.1	ASM4500431v1
NZ_CP173622.1	Pseudomonas alloputida	1940621	SAMN44656280	6270975	GCF_045037975.1	ASM4503797v1
NZ_JBISHB010000041.1	Pseudoalteromonas sp. Ld20	649165	SAMN41925734	325066	GCF_045064175.1	ASM4506417v1
NZ_JBISHF010000007.1	Cobetia sp. Ld8	649154	SAMN41925730	1465413	GCF_045066615.1	ASM4506661v1
NZ_CP174006.1	Pseudomonas sp. 10(2024)	3144667	SAMN41232460	5977827	GCF_045164175.1	ASM4516417v1
NZ_JBJHQE010000101.1	Pseudomonas neuropathica	2730425	SAMN44766305	16456	GCF_045257775.1	ASM4525777v1
NZ_JBJHQD010000011.1	Pseudomonas guariconensis	1288410	SAMN44766306	174995	GCF_045257805.1	ASM4525780v1
NZ_CP145799.1	Pseudomonas putida group bacterium ESBL64	3122582	SAMN32209612	5873281	GCF_045277175.1	ESBL64
NZ_CP157347.1	Paraburkholderia fungorum	134537	SAMN41518117	3633723	GCF_045348565.1	ASM4534856v1
NZ_JBJJJK010000001.1	Vibrio parahaemolyticus	670	SAMN42940269	1116573	GCF_045445295.1	ASM4544529v1
NZ_JBJJJM010000001.1	Vibrio parahaemolyticus	670	SAMN42940267	1824480	GCF_045445335.1	ASM4544533v1
NZ_JBJJJP010000002.1	Vibrio parahaemolyticus	670	SAMN42940264	601206	GCF_045445435.1	ASM4544543v1
NZ_JBJJKU010000001.1	Vibrio parahaemolyticus	670	SAMN42940230	1378609	GCF_045446025.1	ASM4544602v1
NZ_JBJJKV010000001.1	Vibrio parahaemolyticus	670	SAMN42940229	1116573	GCF_045446055.1	ASM4544605v1
NZ_JBJJKW010000001.1	Vibrio parahaemolyticus	670	SAMN42940228	1178877	GCF_045446065.1	ASM4544606v1
NZ_JBJJKY010000001.1	Vibrio parahaemolyticus	670	SAMN42934611	1321055	GCF_045446115.1	ASM4544611v1
NZ_CP118874.1	Pseudomonas putida	303	SAMN33347509	6189315	GCF_045571355.1	LBNL_KT2440_2065
NZ_CP118873.1	Pseudomonas putida	303	SAMN33347508	6180425	GCF_045571365.1	LBNL_KT2440_1777
NZ_CP118872.1	Pseudomonas putida	303	SAMN33347507	6191241	GCF_045571375.1	LBNL_KT2440_1968
NZ_CP118875.1	Pseudomonas putida	303	SAMN33347510	6190837	GCF_045571385.1	LBNL_KT2440_2162
NZ_CP169051.1	Vibrio diabolicus	50719	SAMN43405763	1835943	GCF_045586155.1	ASM4558615v1
NZ_CP166195.1	Enterovibrio sp. 27052020O	3241166	SAMN43041060	1482731	GCF_045679545.1	ASM4567954v1
NZ_JBHDIY010000002.1	Tateyamaria armeniaca	2518930	SAMN43434455	4099920	GCF_045797845.1	ASM4579784v1
NZ_CP174457.1	Vibrio rotiferianus	190895	SAMN44806148	1954552	GCF_045820715.1	ASM4582071v1
NZ_JBHOMT010000001.1	Enterovibrio norvegicus	188144	SAMN05417962	3530097	GCF_045843675.1	ASM4584367v1
NZ_JAQQFN010000009.1	Paraburkholderia agricolaris	2152888	SAMN32981124	253144	GCF_046026045.1	ASM4602604v1
NZ_JAQQFK010000006.1	Paraburkholderia agricolaris	2152888	SAMN32981121	278466	GCF_046026155.1	ASM4602615v1
NZ_JAQQFH010000007.1	Paraburkholderia agricolaris	2152888	SAMN32981118	253144	GCF_046026215.1	ASM4602621v1
NZ_JAQQET010000042.1	Paraburkholderia sediminicola	458836	SAMN32981103	85742	GCF_046026855.1	ASM4602685v1
NZ_JAQQEB010000086.1	Paraburkholderia sediminicola	458836	SAMN32981082	17563	GCF_046027615.1	ASM4602761v1
NZ_JAQQEE010000090.1	Paraburkholderia sediminicola	458836	SAMN32981085	17671	GCF_046027625.1	ASM4602762v1
NZ_JAQQDU010000033.1	Paraburkholderia sediminicola	458836	SAMN32981074	85578	GCF_046027825.1	ASM4602782v1
NZ_JAQQDB010000006.1	Caballeronia jiangsuensis	1458357	SAMN32981051	278462	GCF_046030135.1	ASM4603013v1
NZ_JAQQCQ010000004.1	Paraburkholderia caffeinilytica	1761016	SAMN32981039	485342	GCF_046030355.1	ASM4603035v1
NZ_JBJQOQ010000013.1	Brevibacillus sp. B_LB10_24	3380645	SAMN44753052	129959	GCF_046036945.1	ASM4603694v1
NZ_CP064949.1	Pseudomonas sp. PLMAX	2201998	SAMN09213754	7069231	GCF_046042685.1	PLMAX.2
NZ_JBEEBC010000003.1	Vibrio fortis	212667	SAMN40717390	1684973	GCF_046056525.1	ASM4605652v1
NZ_JBEEAO010000006.1	Vibrio alginolyticus	663	SAMN40717405	1878300	GCF_046056605.1	ASM4605660v1
NZ_JBEEAM010000002.1	Vibrio diabolicus	50719	SAMN40717408	1855707	GCF_046056635.1	ASM4605663v1
NZ_JBEEAN010000001.1	Vibrio campbellii	680	SAMN40717406	1911170		
NZ_JBEEAK010000018.1	Vibrio alginolyticus	663	SAMN40717412	917717	GCF_046056815.1	ASM4605681v1
NZ_JBEEAP010000004.1	Vibrio owensii	696485	SAMN40717404	2346915	GCF_046056935.1	ASM4605693v1
NZ_JBEEAR010000014.1	Vibrio campbellii	680	SAMN40717402	1539873	GCF_046056945.1	ASM4605694v1
NZ_JBEEAT010000002.1	Vibrio harveyi	669	SAMN40717399	2463122	GCF_046056995.1	ASM4605699v1
NZ_JBEEAU010000001.1	Vibrio alginolyticus	663	SAMN40717398	1882926	GCF_046057005.1	ASM4605700v1
NZ_JBEEAX010000004.1	Vibrio fortis	212667	SAMN40717395	1706255	GCF_046057045.1	ASM4605704v1
NZ_JBEEAW010000002.1	Vibrio diabolicus	50719	SAMN40717396	1930670	GCF_046057055.1	ASM4605705v1
NZ_JBEEAZ010000007.1	Vibrio owensii	696485	SAMN40717393	2295915	GCF_046057115.1	ASM4605711v1
NZ_JBEEBB010000001.1	Vibrio mediterranei	689	SAMN40717391	1668042	GCF_046057245.1	ASM4605724v1
NZ_JBJVNW010000006.1	Pseudomonas monachiensis	3060212	SAMN45219950	414837	GCF_046117175.1	ASM4611717v1
NZ_JBJVNX010000011.1	Pseudomonas monachiensis	3060212	SAMN45219957	185683	GCF_046117195.1	ASM4611719v1
NZ_JBJWFC010000033.1	Pseudomonas monachiensis	3060212	SAMN45197165	33010	GCF_046117215.1	ASM4611721v1
NZ_JBJJLR010000005.1	Pseudomonas sp. KCJK9058	3344563	SAMN43573503	160946	GCF_046230975.1	ASM4623097v1
NZ_JBJJLU010000042.1	Pseudomonas putida	303	SAMN43573500	52260	GCF_046231125.1	ASM4623112v1
NZ_JBJJLV010000018.1	Pseudomonas sp. KCJK9009	3344561	SAMN43573499	102570	GCF_046231155.1	ASM4623115v1
NZ_JBJJLX010000084.1	Pseudomonas putida	303	SAMN43573496	27348	GCF_046231195.1	ASM4623119v1
NZ_JBJJLZ010000002.1	Pseudomonas putida	303	SAMN43573494	200130	GCF_046231315.1	ASM4623131v1
NZ_JBJJLY010000012.1	Pseudomonas sp. KCJK8806	3344559	SAMN43573495	120835	GCF_046231335.1	ASM4623133v1
NZ_JBJJMA010000054.1	Pseudomonas putida	303	SAMN43573493	38966	GCF_046231355.1	ASM4623135v1
NZ_JBJJMD010000009.1	Pseudomonas putida	303	SAMN43573490	107220	GCF_046231515.1	ASM4623151v1
NZ_JBJJMH010000105.1	Pseudomonas putida	303	SAMN43573486	12365	GCF_046231595.1	ASM4623159v1
NZ_JBJJMI010000107.1	Pseudomonas putida	303	SAMN43573485	20229	GCF_046231695.1	ASM4623169v1
NZ_JBJJMJ010000003.1	Pseudomonas putida	303	SAMN43573484	184490	GCF_046231755.1	ASM4623175v1
NZ_JBJJMN010000032.1	Pseudomonas guariconensis	1288410	SAMN43573480	46087	GCF_046231915.1	ASM4623191v1
NZ_JBJYJX010000001.1	Vibrio jasicida	766224	SAMN45842242	629156	GCF_046246625.1	ASM4624662v1
NZ_JBJYIM010000001.1	Vibrio harveyi	669	SAMN45841955	1250557	GCF_046246645.1	ASM4624664v1
NZ_JBJYIK010000002.1	Vibrio harveyi	669	SAMN45841756	881157	GCF_046246655.1	ASM4624665v1
NZ_JBJYIL010000005.1	Vibrio harveyi	669	SAMN45841954	421594	GCF_046246665.1	ASM4624666v1
NZ_JBJYJW010000010.1	Vibrio owensii	696485	SAMN45842241	225753	GCF_046246675.1	ASM4624667v1
NZ_JBJYJV010000010.1	Vibrio owensii	696485	SAMN45842240	225759	GCF_046246725.1	ASM4624672v1
NZ_JBJYJU010000010.1	Vibrio owensii	696485	SAMN45842239	225753	GCF_046246745.1	ASM4624674v1
NZ_JBJYJS010000001.1	Vibrio rotiferianus	190895	SAMN45842237	2009068	GCF_046246755.1	ASM4624675v1
NZ_JBJYJT010000001.1	Vibrio natriegens	691	SAMN45842238	1163329	GCF_046246785.1	ASM4624678v1
NZ_JBJYJO010000008.1	Vibrio campbellii	680	SAMN45842233	222526	GCF_046246805.1	ASM4624680v1
NZ_JBJYJQ010000002.1	Vibrio rotiferianus	190895	SAMN45842235	996909	GCF_046246825.1	ASM4624682v1
NZ_JBJYJP010000001.1	Vibrio rotiferianus	190895	SAMN45842234	2009068	GCF_046246845.1	ASM4624684v1
NZ_JBJYJR010000006.1	Vibrio rotiferianus	190895	SAMN45842236	346616	GCF_046246855.1	ASM4624685v1
NZ_JBJYJN010000001.1	Vibrio harveyi	669	SAMN45842232	1333019	GCF_046246865.1	ASM4624686v1
NZ_JBJYJM010000001.1	Vibrio harveyi	669	SAMN45842231	1366065	GCF_046246895.1	ASM4624689v1
NZ_JBJYJL010000001.1	Vibrio harveyi	669	SAMN45842230	1334875	GCF_046246925.1	ASM4624692v1
NZ_JBJYJJ010000001.1	Vibrio harveyi	669	SAMN45842228	1334875	GCF_046246935.1	ASM4624693v1
NZ_JBJYJK010000001.1	Vibrio harveyi	669	SAMN45842229	2213050	GCF_046246975.1	ASM4624697v1
NZ_JBJXRG010000001.1	Altererythrobacter sp. MF3-039	3252901	SAMN43516109	1849582	GCF_046254955.1	ASM4625495v1
NZ_JBKAFO010000010.1	Pseudomonas alloputida	1940621	SAMN45897373	141553	GCF_046269045.1	ASM4626904v1
NZ_JBJZOQ010000002.1	Vibrio coralliilyticus	190893	SAMN45864672	782218	GCF_046269195.1	ASM4626919v1
NZ_JBKAGK010000007.1	Marivita cryptomonadis	505252	SAMN43595934	175013	GCF_046290375.1	ASM4629037v1
NZ_JBKAGW010000018.1	Roseibium album	311410	SAMN43595922	173627	GCF_046290605.1	ASM4629060v1
NZ_JBJKCK010000002.1	Pseudomonas protegens	380021	SAMN43499049	699635	GCF_046365205.1	ASM4636520v1
NZ_JBDLLR010000001.1	Pseudomonas sp. HLMP	3153767	SAMN41389144	5160861	GCF_046365545.1	ASM4636554v1
NZ_JBJKCI010000006.1	Pseudomonas protegens	380021	SAMN43499050	597753	GCF_046370445.1	ASM4637044v1
NZ_JAWOCG010000065.1	Marinobacter sp.	50741	SAMN37758125	7420	GCF_046483925.1	ASM4648392v1
NZ_JAWOHW010000074.1	Halomonas campaniensis	213554	SAMN37758271	32956	GCF_046484985.1	ASM4648498v1
NZ_CP169881.1	Pseudomonas sp. DCA-1	3344874	SAMN43776292	5962106	GCF_046523955.1	ASM4652395v1
NZ_CP151939.1	Vibrio alginolyticus	663	SAMN40717407	1822709	GCF_046532695.1	ASM4653269v1
NZ_JAWRYO010000018.1	Brevibacillus sp. SIMBA_076	3085814	SAMN37992211	127203	GCF_046534535.1	ASM4653453v1
NZ_JAWRYH010000006.1	Pseudomonas sp. SIMBA_067	3085807	SAMN37992204	406167	GCF_046534675.1	ASM4653467v1
NZ_JAWRYI010000002.1	Pseudomonas sp. SIMBA_068	3085808	SAMN37992205	620085	GCF_046534705.1	ASM4653470v1
NZ_JAWRXM010000009.1	Pseudomonas sp. SIMBA_044	3085785	SAMN37992182	153347	GCF_046534995.1	ASM4653499v1
NZ_JAWRXI010000018.1	Brevibacillus sp. SIMBA_040	3085781	SAMN37992178	127203	GCF_046535075.1	ASM4653507v1
NZ_JAWRWV010000010.1	Pseudomonas sp. SIMBA_021	3085767	SAMN37992164	153347	GCF_046535375.1	ASM4653537v1
NZ_JAWJBP010000012.1	Tritonibacter sp. SIMBA_163	3080868	SAMN37751183	110751	GCF_046535935.1	ASM4653593v1
NZ_JBBVMG010000001.1	Marinobacter sp. KMM 10035	3134034	SAMN40506236	2654908	GCF_046537445.1	ASM4653744v1
NZ_JAWWUZ010000026.1	Pseudomonas capeferrum	1495066	SAMN38191812	60110	GCF_046537655.1	ASM4653765v1
NZ_JAWWVA010000011.1	Pseudomonas capeferrum	1495066	SAMN38191811	185846	GCF_046537675.1	ASM4653767v1
NZ_JBKHAQ010000099.1	Rhodosalinus sp.	2047741	SAMN35734815	10211	GCF_046542825.1	ASM4654282v1
NZ_JBKFXU010000004.1	Vibrio rotiferianus	190895	SAMN40891646	268290	GCF_046558275.1	ASM4655827v1
NZ_JAWJYL010000002.1	Cobetia sp. SIMBA_158	3081617	SAMN37751178	477452	GCF_046566945.1	ASM4656694v1
NZ_JAYGFL010000099.1	Pseudomonas sp.	306	SAMN38913257	319892	GCF_046581875.1	ASM4658187v1
NZ_JBIQWA010000006.1	Marivita sp. S0852	3373893	SAMN44339243	216108	GCF_046591575.1	ASM4659157v1
NZ_CP176615.1	Leisingera aquaemixtae	1396826	SAMN32904307	3800790	GCF_046603635.1	ASM4660363v1
