Assembly_Accession,Accession,Genome_Size_bp
GCF_048260685.1,GCF_048260685.1,3836515
GCF_048259445.1,GCF_048259445.1,4288385
GCF_048259345.1,GCF_048259345.1,4255822
GCF_048259265.1,GCF_048259265.1,4072178
GCF_048259885.1,GCF_048259885.1,3715454
GCF_048269445.1,GCF_048269445.1,4104658
GCF_048892425.1,GCF_048892425.1,4303825
GCF_048820735.1,GCF_048820735.1,5480426
GCF_049194005.1,GCF_049194005.1,5078899
GCF_000695685.1,GCF_000695685.1,5286006
GCF_002115805.1,GCF_002115805.1,4313167
GCF_002115725.1,GCF_002115725.1,4610381
GCF_000730475.1,GCF_000730475.1,5689593
GCF_000275705.1,GCF_000275705.1,6697981
GCF_000305715.2,GCF_000305715.2,5675890
GCF_000305755.2,GCF_000305755.2,5907191
GCF_000619885.1,GCF_000619885.1,3653918
GCF_000620085.1,GCF_000620085.1,5177835
GCF_000620365.1,GCF_000620365.1,5752811
GCF_000621165.1,GCF_000621165.1,5503346
GCF_000685805.1,GCF_000685805.1,3098053
GCF_000958585.1,GCF_000958585.1,5114306
GCF_000958655.1,GCF_000958655.1,5150449
GCF_000731955.1,GCF_000731955.1,3554760
GCF_000707145.1,GCF_000707145.1,5066853
GCF_001273715.1,GCF_001273715.1,5102410
GCF_000742455.1,GCF_000742455.1,5198910
GCF_000733315.1,GCF_000733315.1,6586300
GCF_000740665.1,GCF_000740665.1,5580083
GCF_000817825.1,GCF_000817825.1,5833717
GCF_000817815.1,GCF_000817815.1,6345380
GCF_001185265.1,GCF_001185265.1,5485048
GCF_001185275.1,GCF_001185275.1,5673694
GCF_001185515.1,GCF_001185515.1,5178597
GCF_001185575.1,GCF_001185575.1,5619886
GCF_001185405.1,GCF_001185405.1,5987634
GCF_001185645.1,GCF_001185645.1,5852732
GCF_001185465.1,GCF_001185465.1,5531962
GCF_001185495.1,GCF_001185495.1,5618066
GCF_000764205.1,GCF_000764205.1,4582559
GCF_000764225.1,GCF_000764225.1,5154850
GCF_000743705.1,GCF_000743705.1,4314497
GCF_001624595.1,GCF_001624595.1,5191569
GCF_001624705.1,GCF_001624705.1,5191229
GCF_001624695.1,GCF_001624695.1,6002354
GCF_000772655.1,GCF_000772655.1,5652224
GCF_000826845.1,GCF_000826845.1,4569459
GCF_000785435.2,GCF_000785435.2,7317626
GCF_001006135.1,GCF_001006135.1,6817062
GCF_000827885.1,GCF_000827885.1,4339718
GCF_000827875.1,GCF_000827875.1,4347351
GCF_000799625.1,GCF_000799625.1,5997141
GCF_000813745.1,GCF_000813745.1,5375119
GCF_000813725.1,GCF_000813725.1,5150147
GCF_000813785.1,GCF_000813785.1,4595988
GCF_000813945.1,GCF_000813945.1,4596525
GCF_000813905.1,GCF_000813905.1,4542505
GCF_000813925.1,GCF_000813925.1,4660851
GCF_000813965.1,GCF_000813965.1,4582254
GCF_000813985.1,GCF_000813985.1,4684550
GCF_000814005.1,GCF_000814005.1,4538199
GCF_000813885.1,GCF_000813885.1,4572103
GCF_000834155.1,GCF_000834155.1,5190632
GCF_000834085.1,GCF_000834085.1,5184023
GCF_000967475.1,GCF_000967475.1,6215334
GCF_000967495.1,GCF_000967495.1,5201999
GCF_000967645.1,GCF_000967645.1,5213994
GCF_000967665.1,GCF_000967665.1,5412179
GCF_000935045.1,GCF_000935045.1,6346514
GCF_000960565.1,GCF_000960565.1,5216789
GCF_000949955.1,GCF_000949955.1,4475676
GCF_000950005.1,GCF_000950005.1,4935352
GCF_000950095.1,GCF_000950095.1,4709666
GCF_000950335.1,GCF_000950335.1,5124627
GCF_000949965.1,GCF_000949965.1,5125805
GCF_000950135.1,GCF_000950135.1,5125874
GCF_000962815.1,GCF_000962815.1,5103549
GCF_000347555.1,GCF_000347555.1,6125072
GCF_000374525.1,GCF_000374525.1,4317545
GCF_000381785.1,GCF_000381785.1,3799525
GCF_000381865.1,GCF_000381865.1,4646784
GCF_000382145.1,GCF_000382145.1,3176011
GCF_000427685.1,GCF_000427685.1,3797935
GCF_000442275.2,GCF_000442275.2,3682761
GCF_000473145.1,GCF_000473145.1,4642596
GCF_000473165.1,GCF_000473165.1,5344253
GCF_000473225.1,GCF_000473225.1,4948550
GCF_000473325.1,GCF_000473325.1,5344419
GCF_000521215.1,GCF_000521215.1,7629701
GCF_000622145.1,GCF_000622145.1,4428895
GCF_000633915.1,GCF_000633915.1,5725190
GCF_000768555.3,GCF_000768555.3,4241818
GCF_001858245.1,GCF_001858245.1,5305289
GCF_002723615.1,GCF_002723615.1,3800995
GCF_003586135.1,GCF_003586135.1,5765634
GCF_000961715.1,GCF_000961715.1,5009164
GCF_001292625.1,GCF_001292625.1,4049808
GCF_001026905.1,GCF_001026905.1,4475311
GCF_000973155.1,GCF_000973155.1,5462675
GCF_000972275.1,GCF_000972275.1,5096903
GCF_001441615.1,GCF_001441615.1,4578348
GCF_001023155.1,GCF_001023155.1,5256857
GCF_001188205.1,GCF_001188205.1,5167913
GCF_001005285.1,GCF_001005285.1,5830220
GCF_001010935.1,GCF_001010935.1,5068299
GCF_001013315.1,GCF_001013315.1,5255839
GCF_001431305.1,GCF_001431305.1,6603616
GCF_001183585.1,GCF_001183585.1,6100369
GCF_001077885.1,GCF_001077885.1,5523519
GCF_001078595.1,GCF_001078595.1,5037502
GCF_001267595.1,GCF_001267595.1,5077802
GCF_001267615.1,GCF_001267615.1,5284103
GCF_001273555.1,GCF_001273555.1,5060270
GCF_001273575.1,GCF_001273575.1,5368163
GCF_001077495.1,GCF_001077495.1,6059900
GCF_001270205.1,GCF_001270205.1,5316172
GCF_001202015.1,GCF_001202015.1,3881015
GCF_001294535.1,GCF_001294535.1,5079079
GCF_001297935.1,GCF_001297935.1,5684771
GCF_001293025.1,GCF_001293025.1,5708798
GCF_001545135.1,GCF_001545135.1,7449739
GCF_001247715.1,GCF_001247715.1,3749125
GCF_001238295.1,GCF_001238295.1,4463206
GCF_001262745.1,GCF_001262745.1,5916358
GCF_001696065.1,GCF_001696065.1,5284763
GCF_001696155.1,GCF_001696155.1,5309702
GCF_001696225.1,GCF_001696225.1,5085389
GCF_001298125.1,GCF_001298125.1,4811718
GCF_001274805.1,GCF_001274805.1,4096630
GCF_001269475.1,GCF_001269475.1,6854017
GCF_001269495.1,GCF_001269495.1,6886626
GCF_001269465.1,GCF_001269465.1,7068782
GCF_001314605.1,GCF_001314605.1,4243535
GCF_001294455.1,GCF_001294455.1,4709832
GCF_001280725.1,GCF_001280725.1,5976345
GCF_001298415.1,GCF_001298415.1,4846093
GCF_001282125.1,GCF_001282125.1,5772078
GCF_001305295.1,GCF_001305295.1,4568828
GCF_001306785.1,GCF_001306785.1,5420069
GCF_001306825.1,GCF_001306825.1,5319732
GCF_001306845.1,GCF_001306845.1,5204467
GCF_001306875.1,GCF_001306875.1,5862215
GCF_016082375.1,GCF_016082375.1,4457478
GCF_000723485.1,GCF_000723485.1,6302926
GCF_000723805.1,GCF_000723805.1,6364024
GCF_000723765.1,GCF_000723765.1,6632841
GCF_000723605.1,GCF_000723605.1,6444472
GCF_001307765.1,GCF_001307765.1,3725379
GCF_001634165.1,GCF_001634165.1,5126292
GCF_001634135.1,GCF_001634135.1,5129398
GCF_001634105.1,GCF_001634105.1,5179121
GCF_001634125.1,GCF_001634125.1,5123197
GCF_001634185.1,GCF_001634185.1,5130775
GCF_001634205.1,GCF_001634205.1,5136853
GCF_001634215.1,GCF_001634215.1,5126956
GCF_001633985.1,GCF_001633985.1,5126321
GCF_001634015.1,GCF_001634015.1,5126855
GCF_001634245.1,GCF_001634245.1,5129762
GCF_001633825.1,GCF_001633825.1,5128953
GCF_001633845.1,GCF_001633845.1,5220707
GCF_001633995.1,GCF_001633995.1,5130119
GCF_001633835.1,GCF_001633835.1,5126976
GCF_001633855.1,GCF_001633855.1,5132315
GCF_001633905.1,GCF_001633905.1,5130983
GCF_001633915.1,GCF_001633915.1,5125547
GCF_001633935.1,GCF_001633935.1,5122821
GCF_001633955.1,GCF_001633955.1,5126587
GCF_001634035.1,GCF_001634035.1,5127031
GCF_001399455.2,GCF_001399455.2,4922047
GCF_001447385.1,GCF_001447385.1,5388713
GCF_001623225.1,GCF_001623225.1,6001312
GCF_001623245.1,GCF_001623245.1,6201736
GCF_001623285.1,GCF_001623285.1,6181400
GCF_001623075.1,GCF_001623075.1,5875058
GCF_001623065.1,GCF_001623065.1,6124061
GCF_001623095.1,GCF_001623095.1,6061014
GCF_001623145.1,GCF_001623145.1,5935921
GCF_001623085.1,GCF_001623085.1,6190724
GCF_001623165.1,GCF_001623165.1,5745729
GCF_001426685.1,GCF_001426685.1,6042950
GCF_001427765.1,GCF_001427765.1,6250934
GCF_001429045.1,GCF_001429045.1,6249926
GCF_009766085.1,GCF_009766085.1,8491561
GCF_009765995.1,GCF_009765995.1,6873913
GCF_000613045.3,GCF_000613045.3,5100497
GCF_001542955.1,GCF_001542955.1,6526596
GCF_001558095.1,GCF_001558095.1,5988434
GCF_001557965.1,GCF_001557965.1,5808935
GCF_001557775.1,GCF_001557775.1,5952196
GCF_001462175.1,GCF_001462175.1,2988999
GCF_001574435.1,GCF_001574435.1,4836424
GCF_001559785.1,GCF_001559785.1,4403494
GCF_001471575.2,GCF_001471575.2,5758394
GCF_001471275.2,GCF_001471275.2,5177838
GCF_002026255.1,GCF_002026255.1,6368940
GCF_001507545.1,GCF_001507545.1,4258055
GCF_001507595.1,GCF_001507595.1,4012034
GCF_001497485.1,GCF_001497485.1,5090551
GCF_001639065.2,GCF_001639065.2,5535129
GCF_900636645.1,GCF_900636645.1,6134366
GCF_904848165.1,GCF_904848165.1,3696886
GCF_001525585.2,GCF_001525585.2,5954875
GCF_001525595.2,GCF_001525595.2,5210472
GCF_900560965.1,GCF_900560965.1,6868303
GCF_001653615.1,GCF_001653615.1,6490841
GCF_900105285.1,GCF_900105285.1,6749275
GCF_900105825.1,GCF_900105825.1,6424905
GCF_900142895.1,GCF_900142895.1,3110197
GCF_900156185.1,GCF_900156185.1,5729155
GCF_900162665.1,GCF_900162665.1,4799817
GCF_900167985.1,GCF_900167985.1,6203063
GCF_900168255.1,GCF_900168255.1,3309148
GCF_900166635.1,GCF_900166635.1,4485339
GCF_900183025.1,GCF_900183025.1,6313543
GCF_900233005.1,GCF_900233005.1,5725871
GCF_001639745.1,GCF_001639745.1,4013700
GCF_001584265.1,GCF_001584265.1,5158052
GCF_001695575.1,GCF_001695575.1,5469456
GCF_001593695.1,GCF_001593695.1,7813920
GCF_001646955.1,GCF_001646955.1,6512467
GCF_001614315.2,GCF_001614315.2,3644302
GCF_001617475.1,GCF_001617475.1,5155643
GCF_001651785.1,GCF_001651785.1,9909969
GCF_001650765.1,GCF_001650765.1,4619018
GCF_001650915.1,GCF_001650915.1,4620179
GCF_001679925.1,GCF_001679925.1,5190966
GCF_001676075.1,GCF_001676075.1,4382175
GCF_001676065.1,GCF_001676065.1,4661648
GCF_001676215.1,GCF_001676215.1,4836949
GCF_001676135.1,GCF_001676135.1,4597115
GCF_001676195.1,GCF_001676195.1,4579771
GCF_001676275.1,GCF_001676275.1,4882271
GCF_001675885.1,GCF_001675885.1,5045469
GCF_001675855.1,GCF_001675855.1,5040447
GCF_001675875.1,GCF_001675875.1,4957774
GCF_001675965.1,GCF_001675965.1,5012874
GCF_014170225.1,GCF_014170225.1,7120312
GCF_014170415.1,GCF_014170415.1,7193633
GCF_001690985.1,GCF_001690985.1,4320255
GCF_001691025.1,GCF_001691025.1,4317411
GCF_001691055.1,GCF_001691055.1,4638003
GCF_001691065.1,GCF_001691065.1,4320262
GCF_001691195.1,GCF_001691195.1,5173686
GCF_001691175.1,GCF_001691175.1,4981800
GCF_001691185.1,GCF_001691185.1,5231685
GCF_001682945.1,GCF_001682945.1,6980545
GCF_001682935.1,GCF_001682935.1,6984535
GCF_001856105.1,GCF_001856105.1,5151914
GCF_019800625.1,GCF_019800625.1,1890714
GCF_001856115.1,GCF_001856115.1,3534771
GCF_001718025.1,GCF_001718025.1,5917091
GCF_002872755.1,GCF_002872755.1,5024416
GCF_002872535.2,GCF_002872535.2,5757797
GCF_002872625.2,GCF_002872625.2,5008012
GCF_002872615.1,GCF_002872615.1,5102651
GCF_002874075.1,GCF_002874075.1,5109151
GCF_002874085.1,GCF_002874085.1,5529377
GCF_002873995.1,GCF_002873995.1,5105059
GCF_002873955.2,GCF_002873955.2,5742416
GCF_002873965.2,GCF_002873965.2,5123120
GCF_002874925.1,GCF_002874925.1,5798738
GCF_002874865.2,GCF_002874865.2,5818066
GCF_002874875.2,GCF_002874875.2,5762593
GCF_002874795.1,GCF_002874795.1,5848194
GCF_002873905.2,GCF_002873905.2,5023562
GCF_002873895.2,GCF_002873895.2,5776370
GCF_002873875.2,GCF_002873875.2,5775358
GCF_002874785.2,GCF_002874785.2,5751019
GCF_002873815.2,GCF_002873815.2,5076090
GCF_002874745.1,GCF_002874745.1,5753408
GCF_002874695.2,GCF_002874695.2,5751294
GCF_002874685.2,GCF_002874685.2,5794336
GCF_002873855.2,GCF_002873855.2,5709905
GCF_002873795.2,GCF_002873795.2,5847231
GCF_002873755.2,GCF_002873755.2,5799207
GCF_002874655.2,GCF_002874655.2,5827913
GCF_002874555.1,GCF_002874555.1,5608848
GCF_002874515.1,GCF_002874515.1,5539080
GCF_002873645.1,GCF_002873645.1,5949539
GCF_002873565.1,GCF_002873565.1,5385158
GCF_002878515.1,GCF_002878515.1,5812726
GCF_002873555.1,GCF_002873555.1,5187319
GCF_002874485.1,GCF_002874485.1,5764611
GCF_002873515.2,GCF_002873515.2,5108715
GCF_002873455.1,GCF_002873455.1,5373394
GCF_002874445.1,GCF_002874445.1,5658140
GCF_002873375.1,GCF_002873375.1,5084156
GCF_002874435.1,GCF_002874435.1,5836036
GCF_002874415.1,GCF_002874415.1,5159071
GCF_002874385.1,GCF_002874385.1,5131073
GCF_002873335.2,GCF_002873335.2,5233446
GCF_002873345.2,GCF_002873345.2,5086061
GCF_002874375.2,GCF_002874375.2,5872941
GCF_002878555.2,GCF_002878555.2,5527715
GCF_002873225.1,GCF_002873225.1,5110161
GCF_002873235.1,GCF_002873235.1,5175625
GCF_002873195.2,GCF_002873195.2,5812518
GCF_002873185.2,GCF_002873185.2,5395138
GCF_002873115.2,GCF_002873115.2,5354169
GCF_002873095.2,GCF_002873095.2,5071189
GCF_002873075.2,GCF_002873075.2,6126819
GCF_002874335.2,GCF_002874335.2,5499374
GCF_002873035.2,GCF_002873035.2,5656540
GCF_002872975.1,GCF_002872975.1,5466295
GCF_002874275.2,GCF_002874275.2,5725707
GCF_002873015.1,GCF_002873015.1,5154822
GCF_002874245.2,GCF_002874245.2,5693122
GCF_002872925.2,GCF_002872925.2,5628481
GCF_002874235.2,GCF_002874235.2,5786154
GCF_002874205.2,GCF_002874205.2,5083248
GCF_002872905.2,GCF_002872905.2,5406351
GCF_002872895.2,GCF_002872895.2,5707392
GCF_002872865.2,GCF_002872865.2,5467221
GCF_002872855.2,GCF_002872855.2,5347640
GCF_002874165.2,GCF_002874165.2,5665255
GCF_002874135.2,GCF_002874135.2,5302602
GCF_002874155.2,GCF_002874155.2,5692096
GCF_002874115.2,GCF_002874115.2,5833893
GCF_002872835.2,GCF_002872835.2,5331216
GCF_002872765.1,GCF_002872765.1,5778841
GCF_002872775.2,GCF_002872775.2,5450459
GCF_002877525.1,GCF_002877525.1,5802720
GCF_002877745.2,GCF_002877745.2,5166084
GCF_002877535.2,GCF_002877535.2,5750039
GCF_002877485.2,GCF_002877485.2,5641194
GCF_002878595.1,GCF_002878595.1,5346161
GCF_002878605.2,GCF_002878605.2,5861473
GCF_002877445.2,GCF_002877445.2,5805000
GCF_002877415.2,GCF_002877415.2,5512118
GCF_002877345.2,GCF_002877345.2,5648307
GCF_002877375.1,GCF_002877375.1,5044957
GCF_002877245.2,GCF_002877245.2,5151164
GCF_002877705.2,GCF_002877705.2,5108396
GCF_002877235.1,GCF_002877235.1,5890826
GCF_002877225.2,GCF_002877225.2,5559083
GCF_002877725.2,GCF_002877725.2,6038715
GCF_002877195.2,GCF_002877195.2,5480159
GCF_002877645.1,GCF_002877645.1,5828788
GCF_002877605.2,GCF_002877605.2,5742634
GCF_002877625.1,GCF_002877625.1,4917733
GCF_002878635.1,GCF_002878635.1,5170688
GCF_002876415.1,GCF_002876415.1,5621856
GCF_002876405.1,GCF_002876405.1,5779834
GCF_002876365.1,GCF_002876365.1,5526766
GCF_002876335.1,GCF_002876335.1,5065000
GCF_002877115.1,GCF_002877115.1,5750509
GCF_002876285.1,GCF_002876285.1,5934260
GCF_002876245.1,GCF_002876245.1,5130033
GCF_002876255.1,GCF_002876255.1,5649133
GCF_002876225.1,GCF_002876225.1,5485570
GCF_002877065.2,GCF_002877065.2,5807593
GCF_002877005.2,GCF_002877005.2,5827267
GCF_002877015.1,GCF_002877015.1,5526342
GCF_002876915.1,GCF_002876915.1,5822881
GCF_002876945.2,GCF_002876945.2,5627598
GCF_002876905.1,GCF_002876905.1,5820313
GCF_002876105.1,GCF_002876105.1,5995086
GCF_002876085.1,GCF_002876085.1,5740982
GCF_002876065.1,GCF_002876065.1,5911867
GCF_002876845.1,GCF_002876845.1,5793286
GCF_002876025.1,GCF_002876025.1,5446492
GCF_002875965.1,GCF_002875965.1,5878334
GCF_002875945.1,GCF_002875945.1,5685011
GCF_002875905.1,GCF_002875905.1,5797015
GCF_002876825.1,GCF_002876825.1,5932378
GCF_002875885.1,GCF_002875885.1,5782652
GCF_002875865.2,GCF_002875865.2,5837724
GCF_002875805.1,GCF_002875805.1,5554862
GCF_002875845.1,GCF_002875845.1,5780099
GCF_002875785.1,GCF_002875785.1,5617903
GCF_002876785.1,GCF_002876785.1,5752211
GCF_002875745.1,GCF_002875745.1,5625073
GCF_002875705.1,GCF_002875705.1,5333083
GCF_002875715.1,GCF_002875715.1,5805480
GCF_002875685.1,GCF_002875685.1,5525016
GCF_002875635.1,GCF_002875635.1,5481424
GCF_002875625.1,GCF_002875625.1,5811378
GCF_002876705.1,GCF_002876705.1,5591810
GCF_002875665.1,GCF_002875665.1,5597501
GCF_002875605.1,GCF_002875605.1,5673463
GCF_002875585.1,GCF_002875585.1,5366144
GCF_002875555.1,GCF_002875555.1,5889689
GCF_002875545.1,GCF_002875545.1,5570682
GCF_002876665.1,GCF_002876665.1,4971660
GCF_002875525.1,GCF_002875525.1,5009797
GCF_002875495.1,GCF_002875495.1,5614493
GCF_002876675.1,GCF_002876675.1,4912142
GCF_002875485.1,GCF_002875485.1,4926868
GCF_002876645.1,GCF_002876645.1,5794648
GCF_002875385.1,GCF_002875385.1,5946632
GCF_002875395.1,GCF_002875395.1,5366083
GCF_002875345.1,GCF_002875345.1,5535722
GCF_002875305.1,GCF_002875305.1,5602186
GCF_002876485.1,GCF_002876485.1,5518524
GCF_002875225.1,GCF_002875225.1,5556094
GCF_002875145.1,GCF_002875145.1,5514388
GCF_002875085.1,GCF_002875085.1,5543737
GCF_002876465.1,GCF_002876465.1,5542839
GCF_002875095.1,GCF_002875095.1,5597078
GCF_002875045.1,GCF_002875045.1,5479722
GCF_002875065.1,GCF_002875065.1,5582678
GCF_002875005.1,GCF_002875005.1,5596074
GCF_001723385.1,GCF_001723385.1,5073110
GCF_001854815.1,GCF_001854815.1,7241525
GCF_001854795.2,GCF_001854795.2,7018823
GCF_001870485.1,GCF_001870485.1,3819538
GCF_001752365.1,GCF_001752365.1,3490661
GCF_001941685.1,GCF_001941685.1,5975631
GCF_001968815.1,GCF_001968815.1,6003883
GCF_002906715.1,GCF_002906715.1,5291922
GCF_002906755.1,GCF_002906755.1,6295038
GCF_002906795.1,GCF_002906795.1,5976331
GCF_002906815.1,GCF_002906815.1,6482519
GCF_001726165.1,GCF_001726165.1,5185921
GCF_001726265.1,GCF_001726265.1,5087598
GCF_001726355.1,GCF_001726355.1,5123977
GCF_001726755.1,GCF_001726755.1,5065957
GCF_001726915.1,GCF_001726915.1,5123173
GCF_001726965.1,GCF_001726965.1,5125449
GCF_001726985.1,GCF_001726985.1,5120561
GCF_001726975.1,GCF_001726975.1,5156159
GCF_001727025.1,GCF_001727025.1,5124297
GCF_001727055.1,GCF_001727055.1,5123801
GCF_001727185.1,GCF_001727185.1,5098402
GCF_001727195.1,GCF_001727195.1,5107378
GCF_001727205.1,GCF_001727205.1,5108840
GCF_001727775.1,GCF_001727775.1,5014336
GCF_001727915.1,GCF_001727915.1,5287070
GCF_001727975.1,GCF_001727975.1,5276530
GCF_001728255.1,GCF_001728255.1,5028582
GCF_001727395.1,GCF_001727395.1,5272305
GCF_001727405.1,GCF_001727405.1,5060135
GCF_001939735.1,GCF_001939735.1,6484429
GCF_001939685.1,GCF_001939685.1,4747966
GCF_001974615.1,GCF_001974615.1,5363304
GCF_001974575.1,GCF_001974575.1,5778497
GCF_007004645.1,GCF_007004645.1,3390631
GCF_007004665.1,GCF_007004665.1,6442184
GCF_001890925.1,GCF_001890925.1,4106736
GCF_001879695.1,GCF_001879695.1,3958683
GCF_001879715.1,GCF_001879715.1,4015438
GCF_003731745.1,GCF_003731745.1,5726905
GCF_003731925.1,GCF_003731925.1,6948607
GCF_003731905.1,GCF_003731905.1,7006377
GCF_003732085.1,GCF_003732085.1,6929928
GCF_003731945.1,GCF_003731945.1,6910241
GCF_003731955.1,GCF_003731955.1,6896989
GCF_002936955.1,GCF_002936955.1,3541369
GCF_002002385.1,GCF_002002385.1,4989632
GCF_003408935.1,GCF_003408935.1,4883222
GCF_002303975.1,GCF_002303975.1,6688950
GCF_002303925.1,GCF_002303925.1,6343312
GCF_001906625.1,GCF_001906625.1,6973524
GCF_001906605.1,GCF_001906605.1,6980620
GCF_001906615.1,GCF_001906615.1,6981118
GCF_001904985.1,GCF_001904985.1,6981405
GCF_001906925.1,GCF_001906925.1,3324250
GCF_001921745.1,GCF_001921745.1,3190115
GCF_002954505.1,GCF_002954505.1,5410489
GCF_002954525.1,GCF_002954525.1,6326035
GCF_002954715.1,GCF_002954715.1,4743237
GCF_002954725.1,GCF_002954725.1,4550107
GCF_002105235.1,GCF_002105235.1,5835746
GCF_002150805.1,GCF_002150805.1,4051288
GCF_002094875.1,GCF_002094875.1,3308297
GCF_002220365.1,GCF_002220365.1,9746569
GCF_002118275.1,GCF_002118275.1,4457596
GCF_002118285.1,GCF_002118285.1,4434235
GCF_002118315.1,GCF_002118315.1,4387902
GCF_001995865.1,GCF_001995865.1,3446273
GCF_001995995.1,GCF_001995995.1,3545121
GCF_002027615.1,GCF_002027615.1,5588138
GCF_002114595.1,GCF_002114595.1,5342458
GCF_002114585.1,GCF_002114585.1,5375251
GCF_002242685.1,GCF_002242685.1,3832938
GCF_002891075.1,GCF_002891075.1,9009624
GCF_002094775.1,GCF_002094775.1,6164945
GCF_002094785.1,GCF_002094785.1,6684468
GCF_002094795.1,GCF_002094795.1,5679262
GCF_002105475.1,GCF_002105475.1,5236997
GCF_002114195.1,GCF_002114195.1,5147763
GCF_002224105.1,GCF_002224105.1,3211529
GCF_002157515.1,GCF_002157515.1,6766660
GCF_003399705.1,GCF_003399705.1,4289595
GCF_002165695.1,GCF_002165695.1,6094753
GCF_002165665.1,GCF_002165665.1,6185046
GCF_016653375.1,GCF_016653375.1,5105076
GCF_003123985.1,GCF_003123985.1,5193454
GCF_002196965.1,GCF_002196965.1,4399776
GCF_002934665.1,GCF_002934665.1,6684644
GCF_002864745.1,GCF_002864745.1,6065447
GCF_002236105.1,GCF_002236105.1,6701403
GCF_002221425.1,GCF_002221425.1,5156813
GCF_002238235.1,GCF_002238235.1,5186820
GCF_002934685.1,GCF_002934685.1,6486653
GCF_002891885.1,GCF_002891885.1,6393883
GCF_006368625.1,GCF_006368625.1,5046383
GCF_006368365.1,GCF_006368365.1,5059693
GCF_006369425.1,GCF_006369425.1,5403197
GCF_006368785.1,GCF_006368785.1,5338634
GCF_006369105.1,GCF_006369105.1,5058773
GCF_006368815.1,GCF_006368815.1,4994988
GCF_006369195.1,GCF_006369195.1,5021631
GCF_006369475.1,GCF_006369475.1,5117405
GCF_006369565.1,GCF_006369565.1,5286395
GCF_006369365.1,GCF_006369365.1,4915240
GCF_006369355.1,GCF_006369355.1,4932677
GCF_006369655.1,GCF_006369655.1,5058092
GCF_006369055.1,GCF_006369055.1,5053724
GCF_006369095.1,GCF_006369095.1,5073021
GCF_006369375.1,GCF_006369375.1,5030688
GCF_006370775.1,GCF_006370775.1,4931332
GCF_006371265.1,GCF_006371265.1,5200258
GCF_006371395.1,GCF_006371395.1,4975027
GCF_006371795.1,GCF_006371795.1,5105491
GCF_006371845.1,GCF_006371845.1,4930934
GCF_006371915.1,GCF_006371915.1,5001370
GCF_006372535.1,GCF_006372535.1,5003405
GCF_006373015.1,GCF_006373015.1,4941941
GCF_006373115.1,GCF_006373115.1,5014652
GCF_006373195.1,GCF_006373195.1,4889249
GCF_006373325.1,GCF_006373325.1,4829865
GCF_006373315.1,GCF_006373315.1,5131669
GCF_006373495.1,GCF_006373495.1,5102033
GCF_006373775.1,GCF_006373775.1,5081183
GCF_006373955.1,GCF_006373955.1,5084808
GCF_006374035.1,GCF_006374035.1,5002930
GCF_006374075.1,GCF_006374075.1,5286983
GCF_006373635.1,GCF_006373635.1,5157528
GCF_006374045.1,GCF_006374045.1,5012378
GCF_006373935.1,GCF_006373935.1,5309199
GCF_006373975.1,GCF_006373975.1,5348952
GCF_006373705.1,GCF_006373705.1,5035686
GCF_006374135.1,GCF_006374135.1,5333895
GCF_006373735.1,GCF_006373735.1,5308298
GCF_006374775.1,GCF_006374775.1,5269602
GCF_006374585.1,GCF_006374585.1,5272938
GCF_006374875.1,GCF_006374875.1,5288376
GCF_006374665.1,GCF_006374665.1,5017844
GCF_006374675.1,GCF_006374675.1,5053373
GCF_006374375.1,GCF_006374375.1,4904887
GCF_006374895.1,GCF_006374895.1,4844687
GCF_006374915.1,GCF_006374915.1,5143973
GCF_006375335.1,GCF_006375335.1,5111341
GCF_006376745.1,GCF_006376745.1,5046278
GCF_006376775.1,GCF_006376775.1,4960889
GCF_006377225.1,GCF_006377225.1,5040656
GCF_006377105.1,GCF_006377105.1,5088187
GCF_006377195.1,GCF_006377195.1,5082291
GCF_006377285.1,GCF_006377285.1,4971579
GCF_006377545.1,GCF_006377545.1,5023054
GCF_006377345.1,GCF_006377345.1,4931634
GCF_006378795.1,GCF_006378795.1,4982245
GCF_006378635.1,GCF_006378635.1,5025290
GCF_006378955.1,GCF_006378955.1,5020789
GCF_006378865.1,GCF_006378865.1,5019884
GCF_002265265.1,GCF_002265265.1,5475421
GCF_014596605.1,GCF_014596605.1,6596644
GCF_003258835.1,GCF_003258835.1,5189386
GCF_021237025.1,GCF_021237025.1,4832374
GCF_021237045.1,GCF_021237045.1,4724905
GCF_002332245.1,GCF_002332245.1,3419483
GCF_002286405.1,GCF_002286405.1,5636280
GCF_002286655.1,GCF_002286655.1,5589290
GCF_002287625.1,GCF_002287625.1,5952943
GCF_002290005.1,GCF_002290005.1,5858972
GCF_016583645.1,GCF_016583645.1,5750741
GCF_002300155.1,GCF_002300155.1,10891395
GCF_002295105.1,GCF_002295105.1,2622223
GCF_002802985.1,GCF_002802985.1,5511499
GCF_002995655.1,GCF_002995655.1,5877037
GCF_002358135.1,GCF_002358135.1,5945836
GCF_002697735.1,GCF_002697735.1,4946673
GCF_900215605.1,GCF_900215605.1,5198252
GCF_900291005.1,GCF_900291005.1,5778341
GCF_900291035.1,GCF_900291035.1,5803405
GCF_900302495.1,GCF_900302495.1,3547102
GCF_900302485.1,GCF_900302485.1,3331553
GCF_900302475.1,GCF_900302475.1,4235016
GCF_900302465.1,GCF_900302465.1,4077640
GCF_900312675.1,GCF_900312675.1,4297465
GCF_900312795.1,GCF_900312795.1,4626214
